onset	duration	as-Music
46.1	0.975	0.0000328514252032619
46.2	0.975	0.000024171480617951602
46.3	0.975	0.000009976613000617363
46.400000000000006	0.975	0.00001706198600004427
46.5	0.975	0.00007357758295256644
46.6	0.975	0.000023511347535531968
46.7	0.975	0.00020682456670328975
46.8	0.975	0.0000022163162611832377
46.900000000000006	0.975	0.00022821665334049612
47.0	0.975	0.00001577625698701013
47.1	0.975	0.0012080323649570346
47.2	0.975	0.0014318327885121107
47.3	0.975	0.000053316089179133996
47.400000000000006	0.975	0.000041738916479516774
47.5	0.975	0.000007764722795400303
47.6	0.975	0.0002968568878713995
47.7	0.975	0.000002212991830674582
47.8	0.975	0.000003702218464241014
47.900000000000006	0.975	0.0001991307217394933
48.0	0.975	0.00014151724462863058
48.1	0.975	0.0000001455412075301865
48.2	0.975	0.0000003007248494668602
48.3	0.975	0.000003183327407896286
48.400000000000006	0.975	0.0002618053986225277
48.5	0.975	0.00013619664241559803
48.6	0.975	0.00011456932406872511
48.7	0.975	0.000040777285903459415
48.8	0.975	0.00008710230758879334
48.900000000000006	0.975	0.000008414353942498565
49.0	0.975	0.000037849415093660355
49.1	0.975	0.00020015827612951398
49.2	0.975	0.000004034593985124957
49.3	0.975	0.0000000754062696728397
49.400000000000006	0.975	0.00000038586148320973734
49.5	0.975	0.00000025744054710230557
49.6	0.975	0.0000567499955650419
49.7	0.975	0.0000057936431403504685
49.8	0.975	0.0000031190274967229925
49.900000000000006	0.975	0.0000007406839017676248
50.0	0.975	0.000002174659584852634
50.1	0.975	0.000003955026386393001
50.2	0.975	0.000000584629844979645
50.3	0.975	0.0000003623665065788373
50.400000000000006	0.975	0.00015369936591014266
50.5	0.975	0.0000000867073666199758
50.6	0.975	0.00000003300664985772528
50.7	0.975	0.0000084130379036651
50.8	0.975	0.00000000010187713173070989
50.900000000000006	0.975	0.000000014439684115075124
51.0	0.975	0.0000000520980734108889
51.1	0.975	0.0000000007293481929515622
51.2	0.975	0.000000022548110933939824
51.3	0.975	0.0000000020459016703000543
51.400000000000006	0.975	0.000000008240487403554653
51.5	0.975	0.000027288549972581677
51.6	0.975	0.0000012808436622435693
51.7	0.975	0.000000012446242259045448
51.8	0.975	0.0000004323941880102211
51.900000000000006	0.975	0.000010303958333679475
52.0	0.975	0.0000032110035590449115
52.1	0.975	0.00000028611856350835296
52.2	0.975	0.00001381857964588562
52.3	0.975	0.0000201682578335749
52.400000000000006	0.975	0.0005535539239645004
52.5	0.975	0.001075770822353661
52.6	0.975	0.0009689462021924555
52.7	0.975	0.00018554710550233722
52.8	0.975	0.00005223951302468777
52.900000000000006	0.975	0.000041346120269736275
53.0	0.975	0.0019367553759366274
53.1	0.975	0.00006225224205991253
53.2	0.975	0.001338344532996416
53.3	0.975	0.00009671571024227887
53.400000000000006	0.975	0.000010034571459982544
53.5	0.975	0.0000053396120165416505
53.6	0.975	0.00000006436076205318386
53.7	0.975	0.0000010114777069247793
53.8	0.975	0.00000049173246452483
53.900000000000006	0.975	0.00000003515664559472498
54.0	0.975	0.000000071801672163474
54.1	0.975	0.0000001256558306295119
54.2	0.975	0.000000297212238820066
54.3	0.975	0.000001059040414475021
54.400000000000006	0.975	0.0000033411670301575214
54.5	0.975	0.00004776115019922145
54.6	0.975	0.000000021218948376144908
54.7	0.975	0.000001284722998207144
54.8	0.975	0.000001125886683439603
54.900000000000006	0.975	0.00000018006525692726427
55.0	0.975	0.000000018239099119909952
55.1	0.975	0.00002218224835814908
55.2	0.975	0.0000007033537485767738
55.3	0.975	0.00001882765172922518
55.400000000000006	0.975	0.00002028420385613572
55.5	0.975	0.00011857985373353586
55.6	0.975	0.0000018205021206085803
55.7	0.975	0.000029764825740130618
55.8	0.975	0.0000009530106126476312
55.900000000000006	0.975	0.000005657669589709258
56.0	0.975	0.00000035993971891912224
56.1	0.975	0.00000036719293916576135
56.2	0.975	0.00000011021948154166239
56.3	0.975	0.00000022890883144555119
56.400000000000006	0.975	0.00000013152252620329818
56.5	0.975	0.0000002398973606432264
56.6	0.975	0.000000027106752398253775
56.7	0.975	0.0000000007889414121997618
56.8	0.975	0.000000000608559258541419
56.900000000000006	0.975	0.00000000015921854112921352
57.0	0.975	0.0000000026054975954536985
57.1	0.975	0.000000002400937892943489
57.2	0.975	0.0000008253010150838236
